"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","189.9","","","","1"
"2025-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","189.6","","","","1"
"2025-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","189.5","","","","1"
"2025-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","189.9","","","","1"
"2025-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","190.2","","","","1"
"2025-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","190.0","","","","1"
"2019-01","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","137.0","","","","1"
"2019-02","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","138.0","","","","1"
"2019-03","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","140.5","","","","1"
"2019-04","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","142.7","","","","1"
"2019-05","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","143.8","","","","1"
"2019-06","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","143.2","","","","1"
"2019-07","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","145.2","","","","1"
"2019-08","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","144.3","","","","1"
"2019-09","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","141.1","","","","1"
"2019-10","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","142.0","","","","1"
"2019-11","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","142.6","","","","1"
"2019-12","Ontario","2016A000235","Transportation","2002=100","17","units","0","v41691988","14.176","144.4","","","","1"
